A,18-Jan-2019,71.29,72.31,70.85,71.93,1551600
AA,18-Jan-2019,29.92,30.1,29.1,29.27,6601100
AAAU,18-Jan-2019,12.82,12.83,12.8,12.805,30700
AABA,18-Jan-2019,65.06,65.45,63.89,64.64,10232700
AAC,18-Jan-2019,2.67,2.78,2.63,2.77,189400
AADR,18-Jan-2019,42.95,43.07,42.72,42.87,21600
AAL,18-Jan-2019,33.84,34.04,33.15,33.97,5817700
AAMC,18-Jan-2019,25.39,27,25.39,26.94,800
AAME,18-Jan-2019,2.46,2.82,2.46,2.73,3000
AAN,18-Jan-2019,47.63,49.05,47.42,48.44,489300
AAOI,18-Jan-2019,16.22,17.05,15.93,16.59,839300
AAON,18-Jan-2019,36.96,37.98,36.945,37.66,100300
AAP,18-Jan-2019,167.23,168.78,163.66,167.61,1777200
AAPL,18-Jan-2019,157.5,157.88,155.98,156.82,33751000
AAT,18-Jan-2019,41.07,41.19,40.63,40.73,129200
AAU,18-Jan-2019,0.75,0.76,0.73,0.75,287800
AAWW,18-Jan-2019,49.42,50.91,49.27,50.55,321100
AAXJ,18-Jan-2019,66.73,67.08,66.63,66.9,915800
AAXN,18-Jan-2019,50.42,50.87,50.02,50.19,398500
AB,18-Jan-2019,29.84,30.2,29.7,30.09,391900
ABB,18-Jan-2019,19.26,19.53,19.24,19.45,4507400
ABBV,18-Jan-2019,88.45,89.79,86.92,89.5,6190000
ABC,18-Jan-2019,76.82,79.95,76.5,79.86,2245500
ABCB,18-Jan-2019,35.95,36.72,35.465,36.24,376600
ABDC,18-Jan-2019,6.825,6.825,6.68,6.68,9900
ABEO,18-Jan-2019,7.13,7.32,7.03,7.26,205700
ABEV,18-Jan-2019,4.75,4.765,4.68,4.75,17804600
ABG,18-Jan-2019,71.78,72.84,71.51,72.63,436800
ABIL,18-Jan-2019,2.2,2.23,2.08,2.14,807300
ABIO,18-Jan-2019,0.4,0.43,0.392,0.425,52500
ABM,18-Jan-2019,35.16,36.24,35.12,35.98,558400
ABMD,18-Jan-2019,335.2,337.16,326.495,333.74,459800
ABR,18-Jan-2019,11.41,11.47,11.28,11.33,636300
ABR-A,18-Jan-2019,25.51,25.69,25.51,25.6,2600
ABR-B,18-Jan-2019,25.29,25.38,25.255,25.36,3800
ABR-C,18-Jan-2019,25.76,25.76,25.76,25.76,1000
ABT,18-Jan-2019,70.99,71.74,70.78,71.42,9404400
ABTX,18-Jan-2019,36.03,36.86,35.9,36.34,49200
ABUS,18-Jan-2019,3.94,3.94,3.68,3.69,161300
AC,18-Jan-2019,40.08,41.17,39.225,40.62,19900
ACA,18-Jan-2019,29.97,30.24,29.4,29.81,459300
ACAD,18-Jan-2019,21.69,21.69,20.7,21.07,2635100
ACB,18-Jan-2019,6.68,6.84,6.2,6.44,39328600
ACBI,18-Jan-2019,17.84,18.37,17.84,18.17,155500
ACC,18-Jan-2019,43.18,43.42,42.88,43.41,695400
