,date,open,high,low,close,volume,average,barCount,ticker
0,2005-10-03,12.37,12.62,11.98,12.43,0,0.0,1556,VIX
1,2005-10-04,12.5,13.14,12.11,13.11,0,0.0,1556,VIX
2,2005-10-05,13.15,14.55,12.97,14.54,0,0.0,1556,VIX
3,2005-10-06,14.53,15.63,14.04,15.07,0,0.0,1556,VIX
4,2005-10-07,14.56,14.82,14.3,14.54,0,0.0,1556,VIX
5,2005-10-10,32.48,32.48,14.87,15.43,0,0.0,1554,VIX
6,2005-10-11,15.35,15.7,15.06,15.55,0,0.0,1556,VIX
7,2005-10-12,15.56,16.27,15.04,16.06,0,0.0,1556,VIX
8,2005-10-13,16.32,17.19,15.98,16.29,0,0.0,1556,VIX
9,2005-10-14,15.99,16.03,14.85,14.86,0,0.0,1526,VIX
10,2005-10-17,15.3,15.3,14.58,14.67,0,0.0,1555,VIX
11,2005-10-18,14.92,15.39,14.79,15.36,0,0.0,1556,VIX
12,2005-10-19,15.63,15.86,13.66,13.67,0,0.0,1555,VIX
13,2005-10-20,14.18,16.0,13.98,15.95,0,0.0,1556,VIX
14,2005-10-21,15.53,16.27,15.26,16.23,0,0.0,1556,VIX
15,2005-10-24,16.18,16.44,14.65,14.91,0,0.0,1556,VIX
16,2005-10-25,14.96,15.3,14.2,14.41,0,0.0,1556,VIX
17,2005-10-26,14.8,14.88,13.72,14.75,0,0.0,1556,VIX
18,2005-10-27,14.73,16.3,14.57,16.28,0,0.0,1556,VIX
19,2005-10-28,15.45,15.61,14.11,14.19,0,0.0,1556,VIX
20,2005-10-31,14.04,15.12,13.93,15.1,0,0.0,1556,VIX
21,2005-11-01,14.85,15.66,14.65,15.48,0,0.0,1556,VIX
22,2005-11-02,14.99,14.99,13.47,13.49,0,0.0,1555,VIX
23,2005-11-03,13.12,13.23,12.5,13.14,0,0.0,1556,VIX
24,2005-11-04,12.88,13.62,12.69,13.19,0,0.0,1556,VIX
25,2005-11-07,13.11,13.65,12.76,12.94,0,0.0,1555,VIX
26,2005-11-08,13.61,13.61,13.04,13.2,0,0.0,1556,VIX
27,2005-11-09,13.14,13.36,12.42,12.97,0,0.0,1556,VIX
28,2005-11-10,12.68,13.17,11.73,11.93,0,0.0,1523,VIX
29,2005-11-11,11.82,11.96,11.65,11.77,0,0.0,1555,VIX
30,2005-11-14,11.99,12.34,11.77,12.23,0,0.0,1556,VIX
31,2005-11-15,12.16,12.69,11.7,12.45,0,0.0,1555,VIX
32,2005-11-16,12.22,12.68,12.17,12.3,0,0.0,1556,VIX
33,2005-11-17,11.92,12.2,11.37,11.42,0,0.0,1555,VIX
34,2005-11-18,11.19,11.67,10.96,11.03,0,0.0,1547,VIX
35,2005-11-21,11.18,11.38,10.71,10.81,0,0.0,1555,VIX
36,2005-11-22,11.01,11.1,10.5,10.64,0,0.0,1556,VIX
37,2005-11-23,10.96,11.03,10.67,11.03,0,0.0,1556,VIX
38,2005-11-25,11.04,11.24,11.02,11.07,0,0.0,836,VIX
39,2005-11-28,11.34,11.99,11.33,11.89,0,0.0,1556,VIX
40,2005-11-29,11.77,11.96,11.61,11.89,0,0.0,1552,VIX
41,2005-11-30,11.84,12.11,11.55,12.08,0,0.0,1556,VIX
42,2005-12-01,12.09,12.23,11.14,11.17,0,0.0,1556,VIX
43,2005-12-02,11.1,11.23,10.94,11.03,0,0.0,1556,VIX
44,2005-12-05,11.45,11.68,11.4,11.61,0,0.0,1502,VIX
45,2005-12-06,11.16,11.59,10.96,11.54,0,0.0,1547,VIX
46,2005-12-07,11.49,12.44,11.45,12.19,0,0.0,1545,VIX
47,2005-12-08,11.88,12.41,11.73,12.2,0,0.0,1556,VIX
48,2005-12-09,11.91,12.2,11.56,11.68,0,0.0,1555,VIX
49,2005-12-12,10.86,11.81,10.83,11.48,0,0.0,1487,VIX
50,2005-12-13,10.57,11.42,10.57,11.19,0,0.0,1557,VIX
51,2005-12-14,10.75,10.79,10.39,10.49,0,0.0,1556,VIX
52,2005-12-15,10.66,11.11,10.37,10.73,0,0.0,1555,VIX
53,2005-12-16,10.7,10.75,10.15,10.62,0,0.0,1558,VIX
54,2005-12-19,11.11,11.34,10.65,11.34,0,0.0,1556,VIX
55,2005-12-20,11.32,11.45,11.0,11.18,0,0.0,1411,VIX
56,2005-12-21,10.71,11.07,10.34,10.89,0,0.0,1556,VIX
57,2005-12-22,10.82,10.89,10.35,10.35,0,0.0,1555,VIX
58,2005-12-23,10.37,10.48,10.24,10.28,0,0.0,1556,VIX
59,2005-12-27,10.97,11.62,10.83,11.58,0,0.0,1556,VIX
60,2005-12-28,11.55,11.64,11.26,11.38,0,0.0,1556,VIX
61,2005-12-29,11.36,11.55,11.14,11.51,0,0.0,1556,VIX
62,2005-12-30,11.96,11.98,11.55,11.8,0,0.0,1556,VIX
63,2006-01-03,12.25,12.51,10.99,11.1,0,0.0,1556,VIX
64,2006-01-04,11.22,11.71,10.97,11.46,0,0.0,1555,VIX
65,2006-01-05,11.43,11.84,11.33,11.73,0,0.0,1556,VIX
66,2006-01-06,11.23,11.5,10.81,11.05,0,0.0,1556,VIX
67,2006-01-09,11.35,11.35,10.98,11.09,0,0.0,1556,VIX
68,2006-01-10,11.39,11.39,10.88,10.88,0,0.0,1556,VIX
69,2006-01-11,11.03,11.16,10.83,10.96,0,0.0,1556,VIX
70,2006-01-12,10.98,11.38,10.94,11.3,0,0.0,1556,VIX
71,2006-01-13,11.4,11.61,11.11,11.22,0,0.0,1555,VIX
72,2006-01-17,12.13,12.46,11.88,11.97,0,0.0,1556,VIX
73,2006-01-18,12.62,12.7,12.2,12.26,0,0.0,1541,VIX
74,2006-01-19,12.12,12.34,11.65,11.91,0,0.0,1556,VIX
75,2006-01-20,12.1,14.36,11.89,14.36,0,0.0,1556,VIX
76,2006-01-23,14.44,14.48,13.58,13.86,0,0.0,1556,VIX
77,2006-01-24,13.79,13.83,13.14,13.33,0,0.0,1556,VIX
78,2006-01-25,12.95,13.38,12.62,12.98,0,0.0,1556,VIX
79,2006-01-26,12.89,12.91,12.19,12.41,0,0.0,1556,VIX
80,2006-01-27,12.27,12.33,11.72,12.07,0,0.0,1556,VIX
81,2006-01-30,12.22,12.46,12.07,12.42,0,0.0,1556,VIX
82,2006-01-31,12.45,13.06,12.45,12.76,0,0.0,1556,VIX
83,2006-02-01,38.49,38.49,12.42,12.46,0,0.0,1556,VIX
84,2006-02-02,12.54,13.47,12.48,13.19,0,0.0,1556,VIX
85,2006-02-03,13.37,13.7,12.64,12.89,0,0.0,1555,VIX
86,2006-02-06,13.43,13.43,13.01,13.11,0,0.0,1556,VIX
87,2006-02-07,13.2,13.67,12.97,13.61,0,0.0,1556,VIX
88,2006-02-08,41.6,41.6,12.76,12.84,0,0.0,1551,VIX
89,2006-02-09,12.56,13.07,12.27,13.0,0,0.0,1556,VIX
90,2006-02-10,13.35,13.73,12.69,12.82,0,0.0,1556,VIX
91,2006-02-13,13.34,13.7,13.05,13.34,0,0.0,1556,VIX
92,2006-02-14,13.09,13.15,12.01,12.34,0,0.0,1556,VIX
93,2006-02-15,12.43,12.95,12.21,12.33,0,0.0,1555,VIX
94,2006-02-16,12.19,12.29,11.13,11.55,0,0.0,1556,VIX
95,2006-02-17,11.64,12.21,11.52,12.2,0,0.0,1546,VIX
96,2006-02-21,12.36,12.64,12.28,12.41,0,0.0,1556,VIX
97,2006-02-22,12.27,12.3,11.68,11.8,0,0.0,1556,VIX
98,2006-02-23,11.86,11.97,11.58,11.9,0,0.0,1556,VIX
99,2006-02-24,11.94,12.06,11.42,11.52,0,0.0,1556,VIX
100,2006-02-27,11.79,11.83,11.4,11.52,0,0.0,1556,VIX
101,2006-02-28,11.74,12.36,11.71,12.33,0,0.0,1556,VIX
102,2006-03-01,12.05,12.07,11.53,11.54,0,0.0,1556,VIX
103,2006-03-02,11.79,11.95,11.56,11.74,0,0.0,1532,VIX
104,2006-03-03,12.03,12.1,11.36,11.83,0,0.0,1555,VIX
105,2006-03-06,12.22,12.91,12.22,12.82,0,0.0,1556,VIX
106,2006-03-07,12.92,13.34,12.64,12.68,0,0.0,1556,VIX
107,2006-03-08,12.83,13.34,12.26,12.36,0,0.0,1556,VIX
108,2006-03-09,12.21,12.67,12.01,12.67,0,0.0,1556,VIX
109,2006-03-10,12.52,12.6,11.79,11.86,0,0.0,1556,VIX
110,2006-03-13,11.72,11.75,10.89,11.46,0,0.0,1554,VIX
111,2006-03-14,11.61,11.72,10.53,10.66,0,0.0,1556,VIX
112,2006-03-15,11.17,11.54,10.98,11.4,0,0.0,1556,VIX
