,atm,atr_hd,atr_hv,bet,beta,bs,candy_dt,cid,civ,close,cnt,date,dn_cnt,dte,earn_dt,event_dt,fm_200,fm_50,fm_hi,fm_lo,hv_22,hv_i_chg,hv_rank,ioc,iop,iop_p,iv,iv_chg,iv_hv,mkt,mp,mp_i_chg_pct,mp_p_chg,o_dt,o_oi,o_oi_chg,o_oi_i_chg,o_oi_i_chg_pct,o_vol,o_vol_2_oi_chg,oexp_dt,oi,p,p_chg,p_i_chg_pct,pct_c,prob,rsi,rsi_i_chg,rtn_22,rtn_22_pct,rtn_5_pct,rtn_66_pct,sec,sfm_200,sfm_50,shv_22,shv_rank,sig_dte,spike,spike_hv,srtn_22,srtn_22_pct,srtn_66_pct,strike,ticker,tid,type,up_cnt,v_oi,v_pct,watch,why,e_sig,bedn,beup,std
32,0.024428684003152235,0.23815594868547948,0.0018887630076450765,584629.9999999999,0.35,b,2019-05-31,BBBY-190621P00013000,0.6489,12.69,2.0,2019-06-05,1.0,16,2019-07-10,,-0.1738281249999999,-0.20931623612097683,-0.4022609514837494,0.19491525423728828,0.29792029005789067,0.0,0.23076923076923078,6154.0,0.95,0.07486209613869188,0.6489,,2.178099383140062,SPY,0.9299999999999999,-0.26344086021505364,,2019-05-31,400.0,6066.0,6066.0,15.165,6154.0,1.014507088691065,2019-06-21,400.0,12.69,,0.01497241922773851,,38%,11.139240506329102,0.0,-0.22147239263803686,0.6237006237006237,0.6444906444906445,0.9355509355509356,XLY,0.0008448631822342012,-0.04674342670561937,0.16235376474816574,0.6739130434782609,,-0.33464580691911183,0.0072489287039363215,-0.007984994249367383,5.0,7.0,13.0,BBBY,BBBY-190621P00013000-190531,Put,0.0,15.39,,,i,,,12.05,0.16350743102379173
4,0.0347682119205297,0.34849228909090135,0.0006002802080595211,691000.0,,s,2019-05-31,CBAY-190621C00012500,1.8838,12.08,2.0,2019-06-05,1.0,16,2019-08-07,,0.08978797399123573,-0.05219219784703233,-0.16804407713498615,0.8470948012232415,0.457958906005705,0.0,0.28365384615384615,3455.0,2.0,0.16556291390728478,1.7919999999999998,11.3,3.913014850240026,,2.175,-0.11494252873563209,,2019-05-31,308.0,3473.0,3473.0,11.275974025974026,3414.0,0.9830118053556004,2019-06-21,308.0,12.08,2.0,0.01407284768211925,99.0,67%,38.995215311004785,0.0,-0.01628664495113996,7.047817047817047,1.3721413721413722,7.6923076923076925,,,,,,,0.5109190240028628,-0.508347597133383,,,,12.5,CBAY,CBAY-190621C00012500-190531,Call,0.0,11.22,22.0,,,sc,,14.5,0.4515415570883568
7,0.13798008534850648,0.6951571637308512,0.0024117677768683444,190456.0,,b,2019-05-31,CC-190719C00024000,0.5605,21.09,2.0,2019-06-05,0.0,44,2019-08-01,,-0.4044585132923789,-0.35762714961896236,-0.5597077244258872,0.0,0.523246935230965,0.0,0.8653846153846154,2506.0,0.76,0.036036036036036036,0.5579999999999999,6.7,1.0664180952224682,,0.7,0.42857142857142866,,2019-05-31,269.0,2505.0,2505.0,9.312267657992566,2506.0,1.0003992015968064,2019-07-19,269.0,21.09,-5.0,0.06306306306306309,70.0,23%,19.052631578947384,0.0,-0.39413961505314565,0.062370062370062374,1.3929313929313931,0.10395010395010396,,,,,,,-1.5636531418747768,0.08621761233778345,,,,24.0,CC,CC-190719C00024000-190531,Call,1.0,9.32,2.0,,ik,,24.76,,0.2331633394364192
11,0.08055009823182724,0.47873585762255205,0.0018103685920680445,182520.0,,s,2019-05-31,CRZO-190719C00011000,0.6097,10.18,2.0,2019-06-05,1.0,44,2019-08-06,,-0.36550378718822496,-0.17235772357723556,-0.6602136181575434,0.030364372469635414,0.7465320371071699,0.0,0.7884615384615384,3042.0,0.6,0.05893909626719057,0.6609999999999999,6.4,0.8854275063149216,,0.7,-0.24999999999999992,,2019-05-31,517.0,3019.0,3019.0,5.839458413926499,3042.0,1.0076184166942697,2019-07-19,517.0,10.18,-2.0,-0.02161100196463639,62.0,69%,31.45695364238412,0.0,-0.15518672199170136,1.5592515592515594,1.5592515592515594,3.3471933471933473,,,,,,,-0.40862624006660436,-0.047430757590617975,,,,11.0,CRZO,CRZO-190719C00011000-190531,Call,0.0,5.88,4.0,,,sc,,11.6,0.27620245047934244
30,0.04659594467570838,0.9371352630365548,0.0001788345672458392,147900.0,1.42,s,2019-05-31,CSX-190621P00071000,0.2648,74.47,2.0,2019-06-05,1.0,16,2019-07-16,,0.03650957800545318,-0.0293147720903556,-0.07513661202185784,0.267358747447243,0.19976582657369343,0.0,0.4567307692307692,2550.0,0.58,0.007788371156170269,0.2648,,1.3255520453210023,SPY,0.61,-0.7459016393442622,,2019-05-31,104.0,2453.0,2453.0,23.58653846153846,2439.0,0.9942927028128822,2019-06-21,104.0,74.47,,0.04780448502752788,,79%,32.2091062394604,0.0,-0.05889043346392009,5.072765072765073,8.024948024948026,6.6943866943866945,XLI,-0.022777887789673934,-0.04966787837859232,0.16748341171556683,0.6956521739130435,,-0.570584377842345,-0.03675371975388222,-0.013641863740325832,3.333333333333333,2.0,71.0,CSX,CSX-190621P00071000-190531,Put,0.0,24.52,,,,,70.42,,0.06672332830189558
31,0.033167718544380276,0.9371352630365548,0.0001788345672458392,189366.0,1.42,s,2019-05-31,CSX-190621P00072000,0.24739999999999998,74.47,2.0,2019-06-05,1.0,16,2019-07-16,,0.03650957800545318,-0.0293147720903556,-0.07513661202185784,0.267358747447243,0.19976582657369343,0.0,0.4567307692307692,2559.0,0.74,0.009936887337182758,0.24739999999999998,,1.238450060469849,SPY,0.8,-0.7437499999999999,,2019-05-31,149.0,2547.0,2547.0,17.093959731543624,2547.0,1.0,2019-06-21,149.0,74.47,,0.04780448502752788,,76%,32.2091062394604,0.0,-0.05889043346392009,5.072765072765073,8.024948024948026,6.6943866943866945,XLI,-0.022777887789673934,-0.04966787837859232,0.16748341171556683,0.6956521739130435,,-0.570584377842345,-0.03675371975388222,-0.013641863740325832,3.333333333333333,2.0,72.0,CSX,CSX-190621P00072000-190531,Put,0.0,17.17,,,,,71.26,,0.062338940414988546
8,0.017773620205799756,0.5689101911719273,0.0001500843324860009,589078.0,1.24,b,2019-05-31,DHI-190621P00042000,0.3336,42.76,2.0,2019-06-05,1.0,16,2019-07-25,,0.058580917321265025,-0.022668781627270262,-0.0837797300192844,0.29733009708737845,0.21120601742345185,0.0,0.3,6011.0,0.98,0.02291861552853134,0.285,0.5,1.3493933718213948,SPY,0.845,-0.7159763313609467,,2019-05-31,728.0,5999.0,5999.0,8.240384615384615,6011.0,1.002000333388898,2019-06-21,728.0,42.76,-3.0,0.043732460243218085,12.0,29%,45.29702970297028,0.0,-0.03585118376550178,6.216216216216216,3.0561330561330564,8.066528066528067,XLY,0.0008448631822342012,-0.04674342670561937,0.16235376474816574,0.6739130434782609,,-2.255672271234315,-1.3969362565969285,-0.007984994249367383,5.0,7.0,42.0,DHI,DHI-190621P00042000-190531,Put,0.0,8.26,2.0,,i,,,41.02,0.07181324987175317
38,0.02999091184489555,1.1756913320700049,0.0009367295481140627,195582.0,0.82,b,2019-05-31,DIS-190614C00136000,0.20329999999999998,132.04,2.0,2019-06-05,0.0,9,2019-08-07,,0.13615243235057228,0.0396195515243134,-0.05631789594053738,0.3289049919484701,0.14134748030436947,0.0,0.48695652173913045,2643.0,0.74,0.005604362314450167,0.20329999999999998,,1.4382994274975793,SPY,0.73,1.006849315068493,,2019-05-31,306.0,1949.0,1949.0,6.369281045751634,2617.0,1.3427398665982555,2019-06-14,306.0,132.04,,0.02953650408966979,,18%,41.70812603648425,0.0,-0.03182284792491574,6.361746361746362,8.045738045738046,9.646569646569647,XLY,0.0008448631822342012,-0.04674342670561937,0.16235376474816574,0.6739130434782609,,-0.12775581897116944,-0.39391440261032107,-0.007984994249367383,5.0,7.0,136.0,DIS,DIS-190614C00136000-190531,Call,1.0,8.64,,,i,,136.74,,0.038420088681387944
35,0.06089063920024229,1.1756913320700049,0.0009367295481140627,103428.0,0.82,b,2019-05-31,DIS-190621P00124000,0.2433,132.04,2.0,2019-06-05,1.0,16,2019-08-07,,0.13615243235057228,0.0396195515243134,-0.05631789594053738,0.3289049919484701,0.14134748030436947,0.0,0.48695652173913045,2028.0,0.51,0.0038624659194183585,0.2433,,1.721289969061294,SPY,0.505,-0.7722772277227723,,2019-05-31,151.0,2014.0,2014.0,13.33774834437086,2022.0,1.0039721946375373,2019-06-21,151.0,132.04,,0.02953650408966979,,15%,41.70812603648425,0.0,-0.03182284792491574,6.361746361746362,8.045738045738046,9.646569646569647,XLY,0.0008448631822342012,-0.04674342670561937,0.16235376474816574,0.6739130434782609,,-0.12775581897116944,-0.39391440261032107,-0.007984994249367383,5.0,7.0,124.0,DIS,DIS-190621P00124000-190531,Put,0.0,13.43,,,i,,,123.49,0.06130583752209666
36,0.045743714026052706,1.1756913320700049,0.0009367295481140627,229900.0,0.82,b,2019-05-31,DIS-190628P00126000,0.235,132.04,2.0,2019-06-05,1.0,23,2019-08-07,,0.13615243235057228,0.0396195515243134,-0.05631789594053738,0.3289049919484701,0.14134748030436947,0.0,0.48695652173913045,2090.0,1.1,0.008330808845804304,0.235,,1.6625694316868231,SPY,1.095,-0.7077625570776256,,2019-05-31,181.0,1840.0,1840.0,10.165745856353592,2080.0,1.1304347826086956,2019-06-28,181.0,132.04,,0.02953650408966979,,22%,41.70812603648425,0.0,-0.03182284792491574,6.361746361746362,8.045738045738046,9.646569646569647,XLY,0.0008448631822342012,-0.04674342670561937,0.16235376474816574,0.6739130434782609,,-0.12775581897116944,-0.39391440261032107,-0.007984994249367383,5.0,7.0,126.0,DIS,DIS-190628P00126000-190531,Put,0.0,11.55,,,i,,,124.9,0.07099561242870564
37,0.007876401090578522,1.1756913320700049,0.0009367295481140627,554274.0000000001,0.82,s,2019-05-31,DIS-190628P00131000,0.2133,132.04,2.0,2019-06-05,1.0,23,2019-08-07,,0.13615243235057228,0.0396195515243134,-0.05631789594053738,0.3289049919484701,0.14134748030436947,0.0,0.48695652173913045,2226.0,2.49,0.018857921841866104,0.2133,,1.509047062888508,SPY,2.55,-0.6392156862745098,,2019-05-31,239.0,1871.0,1871.0,7.828451882845188,2213.0,1.182789951897381,2019-06-28,239.0,132.04,,0.02953650408966979,,66%,41.70812603648425,0.0,-0.03182284792491574,6.361746361746362,8.045738045738046,9.646569646569647,XLY,0.0008448631822342012,-0.04674342670561937,0.16235376474816574,0.6739130434782609,,-0.12775581897116944,-0.39391440261032107,-0.007984994249367383,5.0,7.0,131.0,DIS,DIS-190628P00131000-190531,Put,0.0,9.31,,,,,128.51,,0.06443984736614006
1,0.09456740442655942,0.5869169692614329,0.00036208076714411546,650195.0,1.08,b,2019-05-31,MUR-190719P00022500,0.4569,24.85,2.0,2019-06-05,0.0,44,2019-08-01,,-0.15282117367506842,-0.10336715401157504,-0.30547792062604806,0.12138989169675085,0.3749303036401188,0.0,0.5782608695652174,10003.0,0.65,0.026156941649899394,0.40399999999999997,1.5,1.0775336004522698,SPY,0.6000000000000001,0.1249999999999999,,2019-05-31,777.0,10944.0,10944.0,14.084942084942085,10003.0,0.9140168128654971,2019-07-19,777.0,24.85,0.0,-0.02374245472837022,0.0,24%,28.73015873015872,0.0,-0.03905645784996126,6.070686070686071,4.74012474012474,2.0997920997921,XLE,-0.12483498515704039,-0.09843987298080914,0.19163887685417097,0.5782608695652174,,-0.06805928737543014,-0.23499542472995977,-0.036234856486120015,0.8333333333333333,1.0,22.5,MUR,MUR-190719P00022500-190531,Put,1.0,12.87,20.0,,i,,,21.85,0.16881360059554365
2,0.006036217303822866,0.5869169692614329,0.00036208076714411546,700000.0,1.08,s,2019-05-31,MUR-190719P00025000,0.3764,24.85,2.0,2019-06-05,0.0,44,2019-08-01,,-0.15282117367506842,-0.10336715401157504,-0.30547792062604806,0.12138989169675085,0.3749303036401188,0.0,0.5782608695652174,5000.0,1.4,0.05633802816901408,0.40399999999999997,1.5,1.0775336004522698,SPY,1.5499999999999998,0.12903225806451626,,2019-05-31,689.0,5271.0,5271.0,7.65021770682148,5000.0,0.9485866059571239,2019-07-19,689.0,24.85,0.0,-0.02374245472837022,0.0,62%,28.73015873015872,0.0,-0.03905645784996126,6.070686070686071,4.74012474012474,2.0997920997921,XLE,-0.12483498515704039,-0.09843987298080914,0.19163887685417097,0.5782608695652174,,-0.06805928737543014,-0.23499542472995977,-0.036234856486120015,0.8333333333333333,1.0,25.0,MUR,MUR-190719P00025000-190531,Put,1.0,7.26,20.0,,,,23.6,,0.16881360059554365
33,0.011904761904761862,1.0703158108742241,0.020356858436792587,100280.0,1.02,s,2019-05-31,MYL-190607C00017000,0.5899,16.8,2.0,2019-06-05,0.0,2,2019-08-06,,-0.4538831992692439,-0.32003626473254787,-0.5744680851063829,0.0,1.0113533785262996,0.0,0.9855769230769231,2180.0,0.46,0.02738095238095238,0.5899,,0.5832778260548027,SPY,0.48,0.6354166666666667,,2019-05-31,147.0,1829.0,1829.0,12.4421768707483,2178.0,1.1908146528157464,2019-06-07,147.0,16.8,,0.057738095238095255,,77%,11.587982832618096,0.0,-0.3793867750277059,0.08316008316008316,0.14553014553014554,0.18711018711018712,XLV,-0.03479674940600963,-0.023761694055326243,0.1315786925182406,0.4260869565217391,,-0.3736604815065295,-0.00217454423592526,0.036254229811681804,8.333333333333334,4.0,17.0,MYL,MYL-190607C00017000-190531,Call,1.0,14.83,,,hk,,,17.46,0.05255246886804638
0,0.0027198549410699657,0.4553093949830587,0.00023159858834141128,465025.0,0.36,b,2019-05-31,NEM-190621C00033000,0.2591,33.09,2.0,2019-06-05,0.0,16,2019-07-25,,0.00908142790053712,0.0027272727272726893,-0.1721290968226169,0.1179054054054054,0.2184289081988129,0.0,0.2956521739130435,5225.0,0.89,0.02689634330613478,0.268,5.9,1.2269438244688189,SPY,0.885,0.9548022598870056,,2019-05-31,224.0,5038.0,5038.0,22.491071428571427,5215.0,1.035132989281461,2019-06-21,224.0,33.09,3.0,0.04230885463886369,74.0,36%,83.87096774193552,0.0,0.09135883905013209,9.916839916839917,9.875259875259875,5.23908523908524,XLB,-0.04474833419502178,-0.05441886644988514,0.18021370022662486,0.7086956521739131,,2.5129969271352564,0.31373790594628664,-0.008201396195678612,4.166666666666667,3.0,33.0,NEM,NEM-190621C00033000-190531,Call,1.0,23.33,2.0,,ik,,33.89,,0.06752965251098195
9,0.02961970334088071,3.3632951851986843,0.0005229366966026361,483459.99999999994,,s,2019-05-31,SBAC-190621P00210000,0.243,216.41,2.0,2019-06-05,1.0,16,2019-07-29,,0.22684466052441254,0.0653422376863646,0.0,0.4756904193658369,0.24671066898211666,0.0,0.8221153846153846,2102.0,2.3,0.010627974677695115,0.22399999999999998,11.2,0.9079461416248564,,2.325,-0.6021505376344087,,2019-05-31,277.0,2066.0,2066.0,7.458483754512636,2102.0,1.0174249757986447,2019-06-21,277.0,216.41,2.0,0.019915900374289475,12.0,76%,57.72984078068826,0.0,0.0618222854619499,9.625779625779625,9.896049896049897,9.771309771309772,,,,,,,1.1439530972962988,-0.04544512230547442,,,,210.0,SBAC,SBAC-190621P00210000-190531,Put,0.0,7.59,9.0,,hk,,207.7,,0.0564426946360446
34,0.020310633213859064,1.039386443961693,0.0011405412212653807,368382.0,2.24,b,2019-05-31,STX-190621P00041000,0.47759999999999997,41.85,2.0,2019-06-05,1.0,16,2019-07-30,,-0.08410378406296848,-0.11314077433300118,-0.29091833276855306,0.15831718793246607,0.39425921818127774,0.0,0.5528846153846154,2506.0,1.47,0.03512544802867383,0.47759999999999997,,1.2113857532695727,SPY,1.455,-0.6426116838487973,,2019-05-31,181.0,933.0,933.0,5.154696132596685,2461.0,2.637727759914255,2019-06-21,181.0,41.85,,0.05256869772998796,,32%,30.360934182590242,0.0,-0.13371972676464505,2.1621621621621623,4.553014553014553,3.0353430353430353,XLK,0.012956801034797794,-0.05115751128474533,0.20481622575219677,0.6739130434782609,,-1.6665004672240422,-1.173018559035502,-0.02763975182526268,1.6666666666666665,8.0,41.0,STX,STX-190621P00041000-190531,Put,0.0,13.85,,N,i,,,39.53,0.12034388820613795
3,0.04004160166406656,0.8003107282813319,0.0006737461600837111,342525.0,,s,2019-05-31,TRGP-190621C00040000,0.3639,38.46,2.0,2019-06-05,0.0,16,2019-08-07,,-0.16175912889206634,-0.05004668257332123,-0.3426764655614425,0.12752858399296407,0.3303312259921047,0.0,0.5144230769230769,4567.0,0.75,0.01950078003120125,0.32799999999999996,4.3,0.9929427622680744,,0.775,0.1290322580645161,,2019-05-31,404.0,4923.0,4923.0,12.185643564356436,4555.0,0.9252488320130002,2019-06-21,404.0,38.46,-1.0,0.02314092563702541,55.0,76%,37.943696450428405,0.0,-0.03536493604213686,6.237006237006238,2.2869022869022873,4.407484407484407,,,,,,,-0.6819483144264071,-0.4731004793808202,,,,40.0,TRGP,TRGP-190621C00040000-190531,Call,1.0,11.3,3.0,,,,,40.75,0.08264823143135101
39,0.0016465422612514935,0.7670861392498233,0.002161716931635476,164724.0,,b,2019-05-31,TWTR-190607C00036500,0.37770000000000004,36.44,2.0,2019-06-05,1.0,2,2019-07-23,,0.1113686547681505,0.0013685003105230464,-0.21886387995712753,0.3776937618147447,0.3341689064686655,0.0,0.16826923076923078,2226.0,0.74,0.02030735455543359,0.37770000000000004,,1.1302667384328182,,0.72,-0.548611111111111,,2019-05-31,171.0,2793.0,2793.0,16.333333333333332,2228.0,0.7977085571070534,2019-06-07,171.0,36.44,,-0.0030186608122941827,,26%,39.205155746509085,0.0,-0.07253754135912449,4.511434511434512,5.197505197505198,9.75051975051975,,,,,,,-0.9046110744999323,0.03580689718088977,,,,36.5,TWTR,TWTR-190607C00036500-190531,Call,0.0,13.02,,,ik,sc,37.24,,0.03364819035677423
10,0.01575966510711657,0.7319989603456868,0.00029784582802646644,202640.0,,s,2019-05-31,WELL-190621C00082500,0.1726,81.22,2.0,2019-06-05,0.0,16,2019-07-30,5-Jun-2019,0.13491469625102215,0.05544668707734046,-0.00429079318376846,0.37544453852667226,0.14306972733557138,0.0,0.15865384615384615,2384.0,0.85,0.010465402610194532,0.174,1.8,1.216190197887785,,0.9,0.19444444444444436,,2019-05-31,345.0,2170.0,2170.0,6.2898550724637685,1961.0,0.9036866359447004,2019-06-21,345.0,81.22,1.0,0.00935730115735045,74.0,73%,70.43189368770763,0.0,0.08481367704020304,9.854469854469855,8.336798336798337,8.523908523908524,,,,,,,0.5865727483221567,-0.35885917693957226,,,,82.5,WELL,WELL-190621C00082500-190531,Call,1.0,6.91,3.0,,k,,,83.35,0.04384387886907036
